timestamps,departure_terminal,arrival_terminal,scheduled_departure,actual_departure,Actual_Arrival,TransitTime,seconds_late
2013-11-05 09:40:00,Bainbridge,Colman,40:00.0,41:19.0,15:03.0,34.0,79.0
2013-11-05 10:25:00,Bainbridge,Colman,25:00.0,25:07.0,56:32.0,31.0,7.0
2013-11-05 11:30:00,Bainbridge,Colman,30:00.0,30:38.0,01:02.0,31.0,38.0
2013-11-05 12:20:00,Bainbridge,Colman,20:00.0,20:00.0,51:13.0,31.0,0.0
2013-11-05 13:10:00,Bainbridge,Colman,10:00.0,10:32.0,40:48.0,30.0,32.0
2013-11-05 14:05:00,Bainbridge,Colman,05:00.0,05:00.0,33:31.0,28.0,0.0
2013-11-05 14:55:00,Bainbridge,Colman,55:00.0,55:00.0,24:22.0,29.0,0.0
2013-11-05 15:50:00,Bainbridge,Colman,50:00.0,50:00.0,18:57.0,28.0,0.0
2013-11-05 16:35:00,Bainbridge,Colman,35:00.0,35:00.0,05:49.0,30.0,0.0
2013-11-05 17:30:00,Bainbridge,Colman,30:00.0,31:34.0,01:05.0,30.0,94.0
2013-11-05 18:30:00,Bainbridge,Colman,30:00.0,30:00.0,01:22.0,31.0,0.0
2013-11-05 19:10:00,Bainbridge,Colman,10:00.0,10:21.0,39:18.0,29.0,21.0
2013-11-05 20:10:00,Bainbridge,Colman,10:00.0,10:11.0,42:25.0,32.0,11.0
2013-11-05 20:55:00,Bainbridge,Colman,55:00.0,55:29.0,26:17.0,31.0,29.0
2013-11-05 21:45:00,Bainbridge,Colman,45:00.0,55:59.0,28:45.0,33.0,659.0
2013-11-05 22:35:00,Bainbridge,Colman,35:00.0,37:48.0,09:56.0,32.0,168.0
2013-11-06 00:55:00,Bainbridge,Colman,55:00.0,56:59.0,28:49.0,32.0,119.0
2013-11-06 04:45:00,Bainbridge,Colman,45:00.0,45:18.0,17:19.0,32.0,18.0
2013-11-06 05:20:00,Bainbridge,Colman,20:00.0,20:34.0,51:57.0,31.0,34.0
2013-11-06 06:20:00,Bainbridge,Colman,20:00.0,20:04.0,49:17.0,29.0,4.0
2013-11-06 07:05:00,Bainbridge,Colman,05:00.0,05:59.0,36:19.0,31.0,59.0
2013-11-06 07:55:00,Bainbridge,Colman,55:00.0,56:37.0,26:52.0,30.0,97.0
2013-11-06 08:45:00,Bainbridge,Colman,45:00.0,45:24.0,16:28.0,31.0,24.0
2013-11-06 09:40:00,Bainbridge,Colman,40:00.0,40:00.0,11:44.0,31.0,0.0
2013-11-06 10:25:00,Bainbridge,Colman,25:00.0,26:51.0,57:11.0,31.0,111.0
2013-11-06 11:30:00,Bainbridge,Colman,30:00.0,31:46.0,01:16.0,30.0,106.0
2013-11-06 12:20:00,Bainbridge,Colman,20:00.0,25:34.0,54:55.0,29.0,334.0
2013-11-06 13:10:00,Bainbridge,Colman,10:00.0,10:00.0,39:27.0,29.0,0.0
2013-11-06 14:05:00,Bainbridge,Colman,05:00.0,05:33.0,34:53.0,29.0,33.0
2013-11-06 14:55:00,Bainbridge,Colman,55:00.0,55:04.0,24:53.0,29.0,4.0
2013-11-06 15:50:00,Bainbridge,Colman,50:00.0,50:47.0,20:38.0,30.0,47.0
2013-11-06 16:35:00,Bainbridge,Colman,35:00.0,35:00.0,03:57.0,28.0,0.0
2013-11-06 17:30:00,Bainbridge,Colman,30:00.0,31:39.0,01:59.0,30.0,99.0
2013-11-06 18:30:00,Bainbridge,Colman,30:00.0,30:00.0,01:00.0,31.0,0.0
2013-11-06 19:10:00,Bainbridge,Colman,10:00.0,11:47.0,40:57.0,29.0,107.0
2013-11-06 20:10:00,Bainbridge,Colman,10:00.0,11:35.0,42:55.0,31.0,95.0
2013-11-06 20:55:00,Bainbridge,Colman,55:00.0,55:00.0,26:30.0,31.0,0.0
2013-11-06 21:45:00,Bainbridge,Colman,45:00.0,45:00.0,16:20.0,31.0,0.0
2013-11-06 22:35:00,Bainbridge,Colman,35:00.0,35:45.0,06:04.0,31.0,45.0
2013-11-07 00:55:00,Bainbridge,Colman,55:00.0,58:44.0,30:18.0,32.0,224.0
2013-11-07 04:45:00,Bainbridge,Colman,45:00.0,45:40.0,15:34.0,30.0,40.0
2013-11-07 05:20:00,Bainbridge,Colman,20:00.0,20:20.0,50:58.0,30.0,20.0
2013-11-07 06:20:00,Bainbridge,Colman,20:00.0,20:49.0,50:58.0,30.0,49.0
2013-11-07 07:05:00,Bainbridge,Colman,05:00.0,05:10.0,38:28.0,33.0,10.0
2013-11-07 07:55:00,Bainbridge,Colman,55:00.0,00:01.0,29:43.0,29.0,301.0
2013-11-07 08:45:00,Bainbridge,Colman,45:00.0,45:35.0,16:30.0,31.0,35.0
2013-11-07 09:40:00,Bainbridge,Colman,40:00.0,40:00.0,08:44.0,28.0,0.0
2013-11-07 10:25:00,Bainbridge,Colman,25:00.0,25:43.0,57:58.0,32.0,43.0
2013-11-07 11:30:00,Bainbridge,Colman,30:00.0,30:26.0,00:08.0,30.0,26.0
2013-11-07 12:20:00,Bainbridge,Colman,20:00.0,20:40.0,51:58.0,31.0,40.0
2013-11-07 13:10:00,Bainbridge,Colman,10:00.0,09:36.0,39:42.0,30.0,-24.0
2013-11-07 14:05:00,Bainbridge,Colman,05:00.0,05:45.0,37:15.0,32.0,45.0
2013-11-07 14:55:00,Bainbridge,Colman,55:00.0,55:10.0,26:31.0,31.0,10.0
2013-11-07 15:50:00,Bainbridge,Colman,50:00.0,51:57.0,23:49.0,32.0,117.0
2013-11-07 16:35:00,Bainbridge,Colman,35:00.0,37:01.0,06:20.0,29.0,121.0
